NOMBRE DEPARTAMENTO;NOMBRE MUNICIPIO;PDET;NOMBRE CENTRO POBLADO;NOMBRE SEDE EDUCATIVA;FECHA INICIO DE OPERACIÓN;FIN DE OPERACIÓN INICIAL;ESTADO
SUCRE;COLOSÓ;SI;VDA. DE MARATHON;MARATHÓN;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;COLOSÓ;SI;PARAISO;PARAISO NO 1;;;INSTALACIÓN
SUCRE;COLOSÓ;SI;VDA. CALLE LARGA;CALLE LARGA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;COLOSÓ;SI;VDA. LA ESMERALDA;C.E. LA ESMERALDA - SEDE PRINCIPAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;COLOSÓ;SI;VEREDA DESBARRANCADO ARRIBA;USUARIOS CAMPESINOS;;;INSTALACIÓN
SUCRE;COLOSÓ;SI;VEREDA PARAISO NO 2;PARAISO NO 2;;;EN PLANEACIÓN
SUCRE;CHALÁN;SI;ALEMANIA;POLICARPA SALAVARRIETA;;;INSTALACIÓN
SUCRE;CHALÁN;SI;MANZANAREZ;NUEVO MANZANARES;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;CHALÁN;SI;VEREDA EL CIELO;C.E. EL CIELO - SEDE PRINCIPAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;LOS PALMITOS;SI;VDA. EL DELIRIO;EL DELIRIO;;;EN PLANEACIÓN
SUCRE;LOS PALMITOS;SI;VDA. NARANJAL;EL NARANJAL;;;INSTALACIÓN
SUCRE;LOS PALMITOS;SI;CORREGIMIENTO EL PIÑAL;IET AGRO EL PIÑAL  (Sede Pricinpal);;;INSTALACIÓN
SUCRE;LOS PALMITOS;SI;CORREG SABANAS DE PEDRO;I.E. SABANAS DE PEDRO - SEDE PRINCIPAL;;;INSTALACIÓN
SUCRE;CHALÁN;SI;LA CEIBA;SAN RAFAEL;2022 Jan 01 12:00:00 AM;2032 Jan 01 12:00:00 AM;OPERACIÓN
SUCRE;MORROA;SI;CORREGIMIENTO LAS FLORES;CENTRO EDUCATIVO LAS FLORES (Sede Principal);;;INSTALACIÓN
SUCRE;MORROA;SI;TUMBATORO;C.E. TUMBA TORO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;MORROA;SI;SABANAS DE CALI;CENTRO EDUCATIVO SABANAS DE CALI;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;MORROA;SI;CORREG EL RINCON;CENTRO EDUCATIVO EL RINCON;;;INSTALACIÓN
SUCRE;MORROA;SI;EL TOLIMA;CENTRO EDUCATIVO EL TOLIMA;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;MORROA;SI;DE BREMEN;CENTRO EDUCATIVO BREMEN;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;MORROA;SI;EL RECREO;CENTRO EDUCATIVO EL RECREO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;MORROA;SI;PICHILIN;PICHILIN;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA LAS PAJAS;JOSE CARDENAS;;;INSTALACIÓN
SUCRE;OVEJAS;SI;CANUTALITO;INSTITUCION EDUCATIVA CANUTALITO;;;INSTALACIÓN
SUCRE;OVEJAS;SI;LA PEÑA;I.E. LA PEÑA - SEDE PRINCIPAL;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;SALITRAL;SALITRAL;;;EN PLANEACIÓN
SUCRE;OVEJAS;SI;PIJIGUAY;CENTRO EDUCATIVO PIJAGUAY;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA EL ZAPATO;CENTRO EDUCATIVO EL ZAPATO;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;VEREDA ALEMANIA;SEGUNDO SALAZAR;2021 Sep 25 12:00:00 AM;2031 Sep 25 12:00:00 AM;OPERACIÓN
SUCRE;OVEJAS;SI;CORREGIMIENTO DE CHENGUE;CHENGUE;;;INSTALACIÓN
SUCRE;OVEJAS;SI;CORREGIMIENTO SAN RAFAEL PARTE ALTA;INST EDUC SAN RAFAEL  (Sede Principal);;;EN PLANEACIÓN
SUCRE;OVEJAS;SI;VEREDA EL CHARCON;EL FLORAL;;;INSTALACIÓN
