PERIODO;FECHA;ZONA;DIRECCION_EXACTA;CLASE_ACCIDENTE;SEGUNDO_OBJETO;TIPO_AVERIAS;CANTIDAD_HERIDOS;CANTIDAD_FALLECIDOS;LATITUD;LONGITUD;INTERSECCI_N
19;2019 Feb 20 12:00:00 AM;URBANA;CALLE-15-CARRERA-12;CHOQUE;VEHICULO;1;1;0;39.064.157;-762.970.652;POINT (-76.2970652 3.9064157)
19;2019 Feb 27 12:00:00 AM;URBANA;CALLE-4-CARRERA-23;CHOQUE;VEHICULO;0;1;0;38.997.402;-763.107.125;POINT (-76.3107125 3.8997402)
19;2019 Feb 28 12:00:00 AM;URBANA;CARRERA-14--CALLE-23;CHOQUE;VEHICULO;0;1;0;39.132.665;-762.959.832;POINT (-76.2959832 3.9132665)
19;2019 Mar 03 12:00:00 AM;URBANA;CARRERA-9--CALLE-12-SUR;CHOQUE;VEHICULO;0;0;0;38.879.655;-762.967.712;POINT (-76.2967712 3.8879655)
19;2019 Mar 04 12:00:00 AM;URBANA;CALLE-16-CARRERA-18;ATROPELLO;NA;1;1;0;3.916.878;-762.971.463;POINT (-76.2971463 3.916878)
19;2019 Mar 04 12:00:00 AM;URBANA;CARRERA-18--CALLE-10;CHOQUE;VEHICULO;0;0;0;39.041.229;-763.039.482;POINT (-76.3039482 3.9041229)
19;2019 Mar 04 12:00:00 AM;URBANA;CALLE-3-CARRERA-10;CHOQUE;VEHICULO;1;0;0;38.958.414;-762.989.938;POINT (-76.2989938 3.8958414)
19;2019 Mar 04 12:00:00 AM;URBANA;CARRERA-9--CALLE-26;CHOQUE;VEHICULO;1;0;0;39.126.375;-76.291.346;POINT (-76.291346 3.9126375)
19;2019 Mar 05 12:00:00 AM;URBANA;CARRERA-24-CALLE-13;CHOQUE;INMUEBLE;1;0;0;3.915.495;-762.981.417;POINT (-76.2981417 3.915495)
19;2019 Mar 06 12:00:00 AM;URBANA;CARRERA-10--CALLE-7;CHOQUE;VEHICULO;1;1;0;38.989.651;-762.980.082;POINT (-76.2980082 3.8989651)
19;2019 Mar 09 12:00:00 AM;URBANA;CALLE-4-CARRETRA--3;CHOQUE;VEHICULO;0;0;0;38.939.116;-762.933.592;POINT (-76.2933592 3.8939116)
19;2019 Mar 12 12:00:00 AM;URBANA;CARRERA-16-CALLE-19;CHOQUE;VEHICULO;1;1;0;39.113.137;-762.994.247;POINT (-76.2994247 3.9113137)
19;2019 Mar 13 12:00:00 AM;URBANA;CALLE-1-SUR-CARRERA-12;CHOQUE;VEHICULO;0;0;0;38.932.343;-763.017.086;POINT (-76.3017086 3.8932343)
19;2019 Mar 13 12:00:00 AM;URBANA;CARRERA-11--CALLE-15;CHOQUE;VEHICULO;1;0;0;39.061.648;-762.962.973;POINT (-76.2962973 3.9061648)
19;2019 Mar 15 12:00:00 AM;URBANA;CARRERA-13-A--CALLE-8-SUR;CHOQUE;VEHICULO;1;1;0;38.885.354;-763.018.516;POINT (-76.3018516 3.8885354)
19;2019 Mar 16 12:00:00 AM;URBANA;CARRERA-9-CALLE-5;CHOQUE;VEHICULO;0;0;0;3.896.921;-762.978.143;POINT (-76.2978143 3.896921)
19;2019 Mar 16 12:00:00 AM;URBANA;CARRERA-7-CALLE-16;CHOQUE;VEHICULO;1;0;0;39.051.355;-7.629.193;POINT (-76.29193 3.9051355)
19;2019 Mar 21 12:00:00 AM;URBANA;CARRERA-19--CALLE-4;CHOQUE;VEHICULO;1;0;0;38.986.127;-763.069.452;POINT (-76.3069452 3.8986127)
19;2019 Mar 22 12:00:00 AM;URBANA;CARRERA-18--CALLE-4;CHOQUE;VEHICULO;1;1;0;38.986.116;-76.306.014;POINT (-76.306014 3.8986116)
19;2019 Mar 24 12:00:00 AM;URBANA;CALLE-6-CARRERA-12;CHOQUE;VEHICULO;0;1;0;38.987.171;-763.000.321;POINT (-76.3000321 3.8987171)
19;2019 Mar 26 12:00:00 AM;URBANA;CALLE-8--CARRERA-13;CHOQUE;VEHICULO;0;0;0;39.007.222;-763.002.686;POINT (-76.3002686 3.9007222)
19;2019 Mar 27 12:00:00 AM;URBANA;CARRERA-1-CALLE-9;CHOQUE;VEHICULO;1;0;0;38.980.502;-762.902.521;POINT (-76.2902521 3.8980502)
19;2019 Mar 29 12:00:00 AM;URBANA;CALLE-10--CARRERA-9;CHOQUE;VEHICULO;1;1;0;39.010.848;-762.962.038;POINT (-76.2962038 3.9010848)
19;2019 Mar 30 12:00:00 AM;RURAL;SALIDA-SUR-VIA-CALI-QUEBRADA-SECA;CHOQUE;VEHICULO;0;1;0;3.872.285;-76.296.952;POINT (-76.296952 3.872285)
19;2019 Mar 30 12:00:00 AM;URBANA;CALLE-5--CARRRERA-4;CHOQUE;VEHICULO;0;0;0;38.954.701;-762.936.734;POINT (-76.2936734 3.8954701)
19;2019 Apr 01 12:00:00 AM;URBANA;CALLE-8-CARREERA-11;CHOQUE;VEHICULO;1;0;0;39.001.156;-762.985.593;POINT (-76.2985593 3.9001156)
19;2019 Apr 01 12:00:00 AM;URBANA;CARRERA-13-CALLE-3-SUR;CHOQUE;VEHICULO;0;0;0;38.907.007;-763.023.774;POINT (-76.3023774 3.8907007)
19;2019 Apr 05 12:00:00 AM;URBANA;CARRERA-12--CALLE-8;CHOQUE;VEHICULO;1;0;1;39.004.828;-762.994.639;POINT (-76.2994639 3.9004828)
19;2019 Apr 06 12:00:00 AM;URBANA;CARRERA-12A-CALLE-7A;CHOQUE;VEHICULO;1;0;0;39.002.057;-763.001.664;POINT (-76.3001664 3.9002057)
19;2019 Apr 06 12:00:00 AM;URBANA;CALLE-15--CARRERA-5;CHOQUE;VEHICULO;1;1;0;38.915.706;-76.292.232;POINT (-76.292232 3.8915706)
19;2019 Apr 07 12:00:00 AM;URBANA;CALLE-6--CARRERA-13;CHOQUE;VEHICULO;0;1;0;38.989.771;-763.008.787;POINT (-76.3008787 3.8989771)
19;2019 Apr 07 12:00:00 AM;URBANA;CARRERA-9-CALLE-8;CHOQUE;VEHICULO;0;0;0;38.994.625;-762.968.451;POINT (-76.2968451 3.8994625)
19;2019 Apr 09 12:00:00 AM;URBANA;CALLE-20-BIS-CARRERA-12;CHOQUE;VEHICULO;1;1;0;3.913.438;-762.908.664;POINT (-76.2908664 3.913438)
19;2019 Apr 14 12:00:00 AM;RURAL;SALIDA-SUR-1-BUGA--GUACARI;CHOQUE;VEHICULO;0;0;0;389.383;-7.631.036;POINT (-76.31036 3.89383)
19;2019 Apr 14 12:00:00 AM;URBANA;CARRERA-8-CALLE-18;CHOQUE;VEHICULO;1;0;0;39.074.741;-76.292.709;POINT (-76.292709 3.9074741)
19;2019 Apr 15 12:00:00 AM;URBANA;CARRERA-18-CALLE-15;CHOQUE;VEHICULO;1;1;0;39.085.545;-763.023.628;POINT (-76.3023628 3.9085545)
19;2019 Apr 15 12:00:00 AM;URBANA;CALLE-1--CARRERA-9;CHOQUE;VEHICULO;0;0;0;38.942.795;-762.985.091;POINT (-76.2985091 3.8942795)
19;2019 Apr 17 12:00:00 AM;URBANA;CARRERA-15-CALLE-29;VOLCAMIENTO;VOLCAMIENTO;1;0;0;3.917.823;-762.955.517;POINT (-76.2955517 3.917823)
19;2019 Apr 18 12:00:00 AM;URBANA;CALLE-4-CARRERA-11;CHOQUE;VEHICULO;1;0;0;38.968.123;-762.996.746;POINT (-76.2996746 3.8968123)
19;2019 Apr 19 12:00:00 AM;URBANA;CALLE-3--CARRERA-12;CHOQUE;VEHICULO;1;1;0;38.962.197;-763.009.952;POINT (-76.3009952 3.8962197)
19;2019 Apr 20 12:00:00 AM;URBANA;CARRRERA-1-CALLE-6;CHOQUE;VEHICULO;0;1;0;38.954.051;-762.909.992;POINT (-76.2909992 3.8954051)
19;2019 Apr 21 12:00:00 AM;URBANA;CARRERA-10-CALLE-5;CHOQUE;VEHICULO;0;1;0;38.971.881;-762.985.922;POINT (-76.2985922 3.8971881)
19;2019 Apr 21 12:00:00 AM;RURAL;VIA-BUGA-LA-MAGDALENA;CHOQUE;VEHICULO;0;1;0;3.890.365;-76.224.886;POINT (-76.224886 3.890365)
19;2019 Apr 21 12:00:00 AM;URBANA;CALLE-6--CARRERA-9;CHOQUE;VEHICULO;0;0;0;38.977.771;-762.974.962;POINT (-76.2974962 3.8977771)
19;2019 Apr 22 12:00:00 AM;URBANA;CARRERA-14--CALLE-14;CHOQUE;VEHICULO;1;0;0;39.061.522;-762.991.734;POINT (-76.2991734 3.9061522)
19;2019 Apr 22 12:00:00 AM;URBANA;CALLE-5--CARRERA-2;CHOQUE;VEHICULO;1;1;0;38.948.892;-762.920.838;POINT (-76.2920838 3.8948892)
19;2019 Apr 22 12:00:00 AM;URBANA;CARRERA-7--CALLE-10;CHOQUE;VEHICULO;0;1;0;39.002.397;-762.942.313;POINT (-76.2942313 3.9002397)
19;2019 Apr 22 12:00:00 AM;URBANA;CALLE-22-CARRERA-11;CHOQUE;VEHICULO;0;0;0;39.115.368;-76.294.162;POINT (-76.294162 3.9115368)
19;2019 Apr 23 12:00:00 AM;URBANA;CALLE-22--CARRERA11;CHOQUE;VEHICULO;1;1;0;39.115.368;-76.294.162;POINT (-76.294162 3.9115368)
19;2019 Apr 25 12:00:00 AM;URBANA;CARRERA-19--CALLE-4;CHOQUE;VEHICULO;0;1;0;38.986.127;-763.069.452;POINT (-76.3069452 3.8986127)
19;2019 Apr 26 12:00:00 AM;URBANA;CALLE-12--CARRRERA-11;CAIDA-ACOMPAÑANTE;NA;0;1;0;39.033.414;-76.297.349;POINT (-76.297349 3.9033414)
19;2019 Apr 27 12:00:00 AM;URBANA;CARRERA-12--CALLE-14;ATROPELLO;NA;0;1;0;3.905.465;-76.297.368;POINT (-76.297368 3.905465)
19;2019 Apr 28 12:00:00 AM;URBANA;CALLE-6--CARRERA-9;CHOQUE;VEHICULO;0;0;0;38.977.771;-762.974.962;POINT (-76.2974962 3.8977771)
19;2019 Apr 28 12:00:00 AM;URBANA;CARRERA-10--CALLE-5;CHOQUE;VEHICULO;1;1;0;38.971.881;-762.985.922;POINT (-76.2985922 3.8971881)
19;2019 Apr 29 12:00:00 AM;URBANA;CALLE-4-CARRERA-23;OTRO;NA;0;0;0;38.997.402;-763.107.125;POINT (-76.3107125 3.8997402)
19;2019 Apr 29 12:00:00 AM;URBANA;CARRRERA-15--CALLE-26;CHOQUE;VEHICULO;1;1;0;39.147.741;-762.966.626;POINT (-76.2966626 3.9147741)
19;2019 May 06 12:00:00 AM;URBANA;CARRERA-9-CALLE-3-SUR;CHOQUE;VEHICULO;0;0;0;38.921.861;-762.987.256;POINT (-76.2987256 3.8921861)
19;2019 May 07 12:00:00 AM;URBANA;CARRERA-14-CALLE-20;CHOQUE;MURO;1;0;0;39.110.784;-762.968.413;POINT (-76.2968413 3.9110784)
19;2019 May 09 12:00:00 AM;URBANA;CALLE-4--CARRERA-23;CHOQUE;VEHICULO;1;0;0;38.997.402;-763.107.125;POINT (-76.3107125 3.8997402)
19;2019 May 11 12:00:00 AM;URBANA;CARRERA-12--CALLE-8-SUR;CHOQUE;VEHICULO;1;1;0;38.885.354;-763.018.516;POINT (-76.3018516 3.8885354)
19;2019 May 12 12:00:00 AM;URBANA;CALLE-1-CARRERA-10A;CHOQUE;VEHICULO;0;0;0;38.947.008;-762.997.618;POINT (-76.2997618 3.8947008)
19;2019 May 12 12:00:00 AM;URBANA;CARRERA-15--CALLE-10;CHOQUE;VEHICULO;1;1;0;39.031.526;-763.014.235;POINT (-76.3014235 3.9031526)
19;2019 May 15 12:00:00 AM;URBANA;CALLE-4--CARRERA-22;CHOQUE;VEHICULO;0;0;0;38.995.501;-763.101.194;POINT (-76.3101194 3.8995501)
19;2019 May 15 12:00:00 AM;URBANA;CALLE-4--CARRERA-23;CHOQUE;VEHICULO;1;1;0;38.997.402;-763.107.125;POINT (-76.3107125 3.8997402)
19;2019 May 16 12:00:00 AM;URBANA;CARRERA-12-CALLE-8;CHOQUE;VEHICULO;0;1;0;39.004.828;-762.994.639;POINT (-76.2994639 3.9004828)
19;2019 May 16 12:00:00 AM;URBANA;CARRERA-12-SUR-BUGA-BRISAS;CHOQUE;VEHICULO;0;1;0;3.861.402;-76.295.858;POINT (-76.295858 3.861402)
19;2019 May 17 12:00:00 AM;URBANA;CALLE-9--CARRERA-12;VOLCAMIENTO;NA;0;1;0;39.013.208;-762.991.403;POINT (-76.2991403 3.9013208)
19;2019 May 18 12:00:00 AM;URBANA;CALLE-16-CARRERA-4;CHOQUE;OBSTACULO;0;0;0;39.026.246;-762.907.281;POINT (-76.2907281 3.9026246)
19;2019 May 19 12:00:00 AM;URBANA;CALLE-23--CARRERA-10;CHOQUE;VEHICULO;1;0;0;39.120.858;-762.931.526;POINT (-76.2931526 3.9120858)
19;2019 May 20 12:00:00 AM;URBANA;CARRERA-12-CALLE-7-SUR;CHOQUE;VEHICULO;1;0;0;38.891.525;-763.063.757;POINT (-76.3063757 3.8891525)
19;2019 May 23 12:00:00 AM;URBANA;CALLE-9---CARRERA-3;CHOQUE;VEHICULO;1;1;0;38.985.116;-762.914.913;POINT (-76.2914913 3.8985116)
19;2019 May 24 12:00:00 AM;URBANA;CARRERA-18---CALLE-19;CHOQUE;VEHICULO;0;1;0;39.117.747;-763.001.552;POINT (-76.3001552 3.9117747)
19;2019 May 25 12:00:00 AM;URBANA;CALLE-7--CARRERA-9;CHOQUE;VEHICULO;0;0;0;38.986.738;-762.971.495;POINT (-76.2971495 3.8986738)
19;2019 May 25 12:00:00 AM;URBANA;CALLE-7---CARRERA-15;CHOQUE;VEHICULO;1;0;0;39.004.344;-763.023.347;POINT (-76.3023347 3.9004344)
19;2019 May 28 12:00:00 AM;URBANA;CALLE-5---CARRERA-18;CHOQUE;VEHICULO;1;1;0;38.996.982;-763.056.143;POINT (-76.3056143 3.8996982)
19;2019 May 28 12:00:00 AM;URBANA;CALLE-15-CARRERA-12;CHOQUE;VEHICULO;0;1;0;39.064.157;-762.970.652;POINT (-76.2970652 3.9064157)
19;2019 May 29 12:00:00 AM;URBANA;CARRERA-16---CALLE-19;CHOQUE;VEHICULO;0;0;0;39.113.137;-762.994.247;POINT (-76.2994247 3.9113137)
19;2019 May 30 12:00:00 AM;URBANA;CARRERA-9---CALLE-5;ATROPELLO;NA;1;1;0;3.896.921;-762.978.143;POINT (-76.2978143 3.896921)
19;2019 May 30 12:00:00 AM;URBANA;CARRERA-9-CALLE-10;CHOQUE;VEHICULO;0;1;0;39.010.848;-762.962.038;POINT (-76.2962038 3.9010848)
19;2019 Jun 02 12:00:00 AM;URBANA;CALLE-31-CARRERA-12;CHOQUE;VEHICULO;0;0;0;39.185.063;-762.924.617;POINT (-76.2924617 3.9185063)
19;2019 Jun 02 12:00:00 AM;URBANA;CALLE-11-CARRERA-14;CHOQUE;VEHICULO;1;0;0;39.036.881;-763.003.033;POINT (-76.3003033 3.9036881)
19;2019 Jun 02 12:00:00 AM;URBANA;CARRERA-1--CALLE-20;CHOQUE;VEHICULO;1;0;0;38.956.901;-763.108.658;POINT (-76.3108658 3.8956901)
19;2019 Jun 03 12:00:00 AM;RURAL;KM-6-VIA-BUGA-LA-HABANA;CHOQUE;VEHICULO;1;1;0;3.895.143;-76.235.543;POINT (-76.235543 3.895143)
19;2019 Jun 03 12:00:00 AM;URBANA;CARRERA-19-CALLE-24;CHOQUE;VEHICULO;0;1;0;39.150.531;-763.000.419;POINT (-76.3000419 3.9150531)
19;2019 Jun 03 12:00:00 AM;URBANA;CALLE-23-CARRERA-13;CHOQUE;VEHICULO;0;1;0;39.129.988;-76.295.426;POINT (-76.295426 3.9129988)
19;2019 Jun 05 12:00:00 AM;URBANA;CARRERA-12--CALLE-6;ATROPELLO;NA;0;0;0;38.987.171;-763.000.321;POINT (-76.3000321 3.8987171)
19;2019 Jun 05 12:00:00 AM;URBANA;CARRERA-11--CALLE-8;CHOQUE;VEHICULO;1;1;0;39.001.156;-762.985.593;POINT (-76.2985593 3.9001156)
19;2019 Jun 05 12:00:00 AM;URBANA;CALLE-8-CARRERA-9;CHOQUE;VEHICULO;0;1;0;38.994.625;-762.968.451;POINT (-76.2968451 3.8994625)
19;2019 Jun 05 12:00:00 AM;URBANA;CALLE-13--CARRERA-16;CHOQUE;VEHICULO;0;1;0;39.060.925;-763.012.732;POINT (-76.3012732 3.9060925)
19;2019 Jun 06 12:00:00 AM;URBANA;CARRERA-15-CALLE-5;CHOQUE;VEHICULO;0;1;0;38.987.145;-763.029.713;POINT (-76.3029713 3.8987145)
19;2019 Jun 07 12:00:00 AM;URBANA;CALLE-20--CARRERA-12;CHOQUE;VEHICULO;0;1;0;39.105.566;-762.954.426;POINT (-76.2954426 3.9105566)
19;2019 Jun 07 12:00:00 AM;URBANA;CALLE-17--CARRERA-11;CHOQUE;VEHICULO;0;1;0;39.077.377;-762.955.147;POINT (-76.2955147 3.9077377)
19;2019 Jun 08 12:00:00 AM;URBANA;CALLE-13--CARRERA-10;CHOQUE;VEHICULO;0;1;0;39.038.503;-762.963.225;POINT (-76.2963225 3.9038503)
19;2019 Jun 08 12:00:00 AM;URBANA;CARRERA-13-CALLE-2;CHOQUE;VEHICULO;0;0;0;38.956.052;-763.020.871;POINT (-76.3020871 3.8956052)
19;2019 Jun 08 12:00:00 AM;URBANA;CARRERA-12-CALLE-6-SUR;CHOQUE;VEHICULO;1;1;0;38.899.325;-763.007.009;POINT (-76.3007009 3.8899325)
19;2019 Jun 09 12:00:00 AM;URBANA;CARRERA-15-CALLE-3;CHOQUE;VEHICULO;0;0;0;3.896.879;-763.035.723;POINT (-76.3035723 3.896879)
